8.345847308647928;0.0	10.435669874876988;0.0	10.560031905886316;0.0	9.774765657089723;0.0	9.034068627118273;0.0	
8.427594862138863;0.0	10.50673164496038;0.0	10.368832447599992;0.0	10.167388373938373;0.0	8.48368143008606;0.0	
7.905922236828681;0.0	10.561067588906806;0.0	9.511419909804959;0.0	8.829267639253713;0.0	8.046438576891173;0.0	
9.876062727211849;0.0	10.35182325544509;0.0	10.024569137832584;0.0	9.261205833850736;0.0	10.226112761579339;0.0	
9.598490138077011;0.0	10.493009653296735;0.0	9.642931739947437;0.0	9.126355570293756;0.0	10.681765664211492;0.0	
9.639066730230155;0.0	10.381560155304207;0.0	9.395449447396517;0.0	8.6935399714587;0.0	8.907908928058184;0.0	
8.74922971504808;0.0	10.316777558060279;0.0	9.46195183752265;0.0	8.38676807762888;0.0	7.831848442964442;0.0	
8.296216619950606;0.0	10.178129603435297;0.0	9.253026674522893;0.0	8.328630103768235;0.0	7.830499579118364;0.0	
7.096556836123983;0.0	10.097532962847843;0.0	9.23381933236257;0.0	8.524611241181663;0.0	7.984216349225012;0.0	
5.917338333640383;0.0	10.014169016146422;0.0	9.029095974644727;0.0	8.244152972609115;0.0	7.643787486284181;0.0	
7.078726094903361;0.0	9.915457973325926;0.0	8.989598480336335;0.0	7.979295419103186;0.0	7.878806053608088;0.0	
7.467028960280175;0.0	9.727867621799476;0.0	8.978221332826108;0.0	8.266272579861411;0.0	7.675542557632909;0.0	
9.367036287961064;0.0	10.82508685591829;0.0	9.384165075127855;0.0	9.59193722817067;0.0	9.465743631910781;0.0	
8.55756069455548;0.0	10.47977752688189;0.0	9.22308536850567;0.0	9.544923398317358;0.0	8.97139077650496;0.0	
8.905170388810717;0.0	10.46502304567639;0.0	9.996098551536932;0.0	9.444143336026745;0.0	8.351672894212728;0.0	
8.731860264073266;0.0	10.544103279745809;0.0	10.215086512164756;0.0	9.452012971900125;0.0	9.406534642474355;0.0	
